address,atomiq_tokens
mtc1q8ucjruvyj4xgectk4rc537uawrhme9sxs95acgq,275001.425766615
mtc1q9dy5k0d8rk2lxt7r4u4xd9vwzjtt25uhyeznhs8,250869.010021044
mtc1qxma3ggztjt8x95v9948yset4yaahkt7nqfh92dy,235900.880659754
mtc1qxquvp6nwmdq33whu7t3e4ykjf5vewcfdsz3p7fd,223209.572969941
mtc1q9jl4d6jhud3d8t4znvvndvja7qp6jhecsg7cs20,213307.696914209
mtc1q9d9jrjkl4g4w5lwguzv7xgszz6q57gaqc2klqlk,207224.184662097
mtc1qxa4fjnt0rd6s6vcnda8ppr89pcmsrnekqcn4w0c,183537.597560834
mtc1qy5rvudf0vvtvzxte0jd4jrnar7wtnsylg4y52px,183186.639375068
mtc1q9ucxm34cfv6rucgfs4u8af6tl729dmueutkkjrp,181398.2132616
mtc1q8lxcrcche29nt2y2r4cvxr2jka55n95lqkq5fjk,174264.065171278
mtc1qxyredx6jpjkx4hg762835taduu60rt5hq0wc088,159001.9461748
mtc1q8xca6z3pttn4f3uau0werv6mwx0nqr0vc5zcr0e,155613.342113635
mtc1q8agfregdtduvuuqg2qhjhhgvg6wpdpjhu3qjru6,144416.434266537
mtc1q8v8m0ysjvrncqfcc82fmlyvp47tejwh8s8378dz,143726.140021042
mtc1q9k7c7lw09fd7pm50pg282sh0a222qs3fc29fuwe,137281.846380197
mtc1q83n5ffuj5w5kgz5uunhztgjgen65fdzlvj2kcqf,137039.589489986
mtc1qyst9ff8ydqze9e5fassujader9cgkk0au095y2l,136963.65268799
mtc1q9pt0xnp200xycqmteypp0s7u7vg2t4wgvg9hd2h,101353.122859475
mtc1q90uphevuxysrj395n0k5aamtax9l990cc2gcmvk,95476.5711170245
mtc1q8yvvnuthsv9a8vy5uhwr5m58jxsjz3a9usnyxt7,91725.3602521315
mtc1qympcjg3exz37czjndq5f7py0v2usfmp4ql7yhty,91263.2312866228
mtc1qxzplfd4wzjhkcmq5sjkcmzrp209prr0gu9egfvj,89842.4374378015
mtc1qyhjct3u6y5087q9trvavxywglrjh4c8k5yff8hf,89175.5778097193
mtc1qx42j6j44lhu5vdla8k905qcq2kf2zjk6yukwm9t,88785.4128258264
mtc1qxvg9lq7y805s3m4ud2yr3y5yahumzmf5ckzm06u,83219.4043869869
mtc1qy0t80kt20ka33tus3777d88ts0uk2c365vs8xwl,81774.2765168767
mtc1qxva3fucmqz8w5tn2sfaxua5fxu66jnu5y93qju2,80754.2115783785
mtc1qymkpqa7txhmdydqwy8tyjvkf3md853lkqtyef9x,79450.0437403673
mtc1qx6q9gzqchc67ps8l4gezddzq648hqpewqyqer58,77559.7984038013
mtc1qxp3wjppkzwqrnvvf2rhzyrfgtd4wgpnjcauqvu7,77179.4068621431
mtc1qxkztcul556328g0935qqffvq07qf8se5srdld8a,70719.114821781
