DAY,address,amount
2024-06-29,mtc1q9x2m06zv7dpc0rf2e76ta6yqk7m44zajs8ekq6j,209.64748580
2024-06-29,mtc1qy6zlxx2kusk6g3mvflsm002x5cvs7uc9vmc20dd,2581.48263878
2024-06-29,mtc1qy80jmrkmn9ha4m9p390kpk5wgzftx5jhcpp3x5r,755.35343399
2024-06-29,mtc1q8ldrtdw0952agefhlqjh2tw7zfu94news4cdt9u,2393.70015188
2024-06-29,mtc1qyzf70asvrg38v0hcvn2kx6frz08eqtyvyxx6xec,2554.15040586
2024-06-29,mtc1q8sfthc6l95k53ergj20ledgvmgznjfwpuh6w8dr,4228.88770372
2024-06-29,mtc1q9kh6ewp42e7qngnykgf5hl5mw3msznm45n75e9z,7608.81655780
2024-06-29,mtc1q9u9ctlxjyhquk8f4amtlu6jms3m74wc9u8ejnfq,1052.46062946
2024-06-29,mtc1q8l7dnvnxxadpdhuc0ugt99dxk3r7lcyevwak7u9,41972.61633102
2024-06-29,mtc1qys2pcy9xr30wx4asfufpmxzu5pmeyepdqs9yj42,1531.66583494
2024-06-29,mtc1q8htespkzkjq09d3m69s6y7hjqhfaqymey8y0sqa,2333.87506632
2024-06-29,mtc1qy789084d5r7r4qdug23jfv0djqcrlzdnvawx5z7,643.47449585
2024-06-29,mtc1qyugqwj7d2fvn5zphvwmx0ft0ylenceqh5ywallr,1390.82130500
2024-06-29,mtc1qyuha7hvys0ymha298uqygqjkur2gzdx8qvy2arc,1537.25243089
2024-06-29,mtc1q984sqsn29ckl9agzud6s0pvxafx0k07dv9phvj4,6676.05515099
2024-06-29,mtc1q9s9ntpzy3z2zzgqcz2m5an2mzw89hwf7sxquzun,49303.05039574
2024-06-29,mtc1q90tk5s8j7y07fm2dfrgn0gh4tms9660vsvt2rhq,59188.73121068
2024-06-29,mtc1qx0vh7epw5flwxzumlq9xptt5dau8stans5swl3m,486.54441798
2024-06-29,mtc1q8uwv7m6vc8y37jc8tny038k2ggz4mkxzujl6xeg,1023.15106673
2024-06-29,mtc1qxp86ef7wv3ysy392na3nuzdjtpqsaknpq9q0ges,1708.32747552
2024-06-29,mtc1q8m79k4z2kh2tu7jua3940qs6t5fu9szquylmrg0,4469.67771304
2024-06-29,mtc1qxsv75ufpsshqc5gfmqga8lqp4evy8tk6vdy0d00,6584.54170162
2024-06-29,mtc1q8vcpqhh6m2crdf0k8822u936pwphjfjss3q98gv,364830.56416850
2024-06-29,mtc1q84gaj02dauvfvk3c2ag8yf4t6ysyxtseqrrtp7p,502.01923301
2024-06-29,mtc1qyylxqrpdx5ek8r4xh2yxq453pw2cut38ygrsaw2,517.70678016
2024-06-29,mtc1q8gewp6tkj2zuuavx6k5fv2lwnc6pnqtsgluxylq,4091.21644320
2024-06-29,mtc1qxpz0ue8wme4du8yen859l80yule36zf0y9l5n0r,5601.92659146
2024-06-29,mtc1q8w6h3ugg20dlmzar9370rpf8ctqrudkrc8l3atj,7374.57727431
2024-06-29,mtc1q928fa2a7ynda3yw565me3mw5wadv0m6ts8kf9q9,9976.05678735
2024-06-29,mtc1q8ef38px8g3sp6yggx9fkzcrk877tayf2vcp2rxk,126.06163956
2024-06-29,mtc1qxqvz7l0gpwe5k7a3rgk0sqhu0z9g9zg7qneamc2,276.52137139
2024-06-29,mtc1q9wy0tqlda69zvq5hum9gnp05xdrkd3wwq3zlvhz,308.24399890
2024-06-29,mtc1q9fl8zkxwhhtc846jcwcg0fplvzzyeuvhqkmkp0p,573.77575918
2024-06-29,mtc1qyvkuzywv2am2vy3xxsl6rhzc9ccg2x3mq89cmng,2034.54632065
2024-06-29,mtc1q96m2zc8hyfq5y2p2fpy2q35n2s6l8kpfqtm24z7,2495.18702437
2024-06-29,mtc1q8rck5xwn8692dmr6qnt226naz4pte2srqxmhv24,4488.52459565
2024-06-29,mtc1q8ywa58dasa8aakln8pdwuh9h48z5frxwsuvpred,1519.54045872
2024-06-29,mtc1q9zay95jn6dskat4wx4kn0y706wd3gxdwuffwt2l,1790.99534284
2024-06-29,mtc1qyp0tkd6vnw8qg3dte3hurnudnyhwc3jdcmwpm2w,4507.88203453
2024-06-29,mtc1qxjqxsla7kf8uh68cm6tseysjzy3sxvzw5ap0ufv,6644.13012790
2024-06-29,mtc1qx7dy94jm46tgs4yvxc2rehfamku0p63j58p2gz2,7333.95587302
2024-06-29,mtc1qxavgywtzksntrp3jz30y6wr8rr4r49ycy85470c,56798.21631869
2024-06-29,mtc1q95eyvg2dasnwfmwxchxzj44upfwjy6qjvlgrzjv,283526.38899805
2024-06-29,mtc1qygpkdvvcqs9pfzuseutq7ndjzzugrzn4swaf2mk,331.51174512
2024-06-29,mtc1q9jkupwj433qfqnqrg8az86t6zszx4zd0cf95xkz,3048.38281255
2024-06-29,mtc1q8wg2vdefdmrssaeqapqp564987kyddhvuurrfp6,27318.52897131
2024-06-29,mtc1qy4rddl2khme5zeh4g0929jlmsaq89v2csp7dmt4,945.19490730
2024-06-29,mtc1q9qj9cyewu47gtml6hmjxyeee0m0stgmdgyedj00,1819.08513544
2024-06-29,mtc1qyv47nfzfnqd5lj9nzfgukd86fsjg3nl2upj6y7l,3513.60128751
2024-06-29,mtc1q9hg7jqky7yvy5u2qy35582hcn99szupeqndx70g,11428.09384550
2024-06-29,mtc1qy6nfuqaztm96t23t7glmzr2rpejdha5rgfh6l4t,19969.84637770
2024-06-29,mtc1qy0nqzmzq8kzsnm7tn8xzfpd49qynhdkqcnqqqdq,397.24659673
